Player,Club,Position
Oliver Hanrahan,Hawthorn,Midfield
Will Langford,Hawthorn,Midfield
Christian Petracca,Melbourne,Midfield
Corey Wagner,Melbourne,Midfield
Aaron vandenBerg,Melbourne,Midfield
Jack Ziebell,North Melbourne,Midfield
Jy Simpkin,North Melbourne,Midfield
Luke Davies-Uniacke,North Melbourne,Midfield
Bailey Scott,North Melbourne,Midfield
Travis Boak,Port Adelaide,Midfield
Robbie Gray,Port Adelaide,Midfield
Steven Motlop,Port Adelaide,Midfield
Jake Patmore,Port Adelaide,Midfield
Dustin Martin,Richmond,Midfield
Shane Edwards,Richmond,Midfield
Kane Lambert,Richmond,Midfield
Josh Caddy,Richmond,Midfield
Luke English,Richmond,Midfield
Jack Sinclair,St Kilda,Midfield
Jack Billings,St Kilda,Midfield
Blake Acres,St Kilda,Midfield
David Armitage,St Kilda,Midfield
Isaac Heeney,Sydney Swans,Midfield
Kieren Jack,Sydney Swans,Midfield
James Rowbottom,Sydney Swans,Midfield
Justin McInerney,Sydney Swans,Midfield
Zac Foot,Sydney Swans,Midfield
Cody Hirst,Sydney Swans,Midfield
Sam Wicks,Sydney Swans,Midfield
Brayden Ainsworth,West Coast Eagles,Midfield
Josh Dunkley,Western Bulldogs,Midfield
Toby McLean,Western Bulldogs,Midfield
Mitch Wallis,Western Bulldogs,Midfield
Sam Lloyd,Western Bulldogs,Midfield
Patrick Lipinski,Western Bulldogs,Midfield
Bailey Smith,Western Bulldogs,Midfield
Bailey Dale,Western Bulldogs,Midfield
Lin Jong,Western Bulldogs,Midfield
Liam Picken,Western Bulldogs,Midfield
Sam Jacobs,Adelaide Crows,Ruck
Reilly OBrien,Adelaide Crows,Ruck
Paul Hunter,Adelaide Crows,Ruck
Stefan Martin,Brisbane Lions,Ruck
Archie Smith,Brisbane Lions,Ruck
Matthew Kreuzer,Carlton,Ruck
Andrew Phillips,Carlton,Ruck
Matthew Lobbe,Carlton,Ruck
Brodie Grundy,Collingwood,Ruck
Max Lynch,Collingwood,Ruck
Tom Bellchambers,Essendon,Ruck
Zac Clarke,Essendon,Ruck
Sam Draper,Essendon,Ruck
Rory Lobb,Fremantle,Ruck
Aaron Sandilands,Fremantle,Ruck
Sean Darcy,Fremantle,Ruck
Lloyd Meek,Fremantle,Ruck
Rhys Stanley,Geelong Cats,Ruck
Zac Smith,Geelong Cats,Ruck
Ryan Abbott,Geelong Cats,Ruck
Jarrod Witts,Gold Coast Suns,Ruck
Tom Nicholls,Gold Coast Suns,Ruck
Dawson Simpson,GWS Giants,Ruck
Shane Mumford,GWS Giants,Ruck
Matthew Flynn,GWS Giants,Ruck
Ben McEvoy,Hawthorn,Ruck
Jonathon Ceglar,Hawthorn,Ruck
Marc Pittonet,Hawthorn,Ruck
Ned Reeves,Hawthorn,Ruck
Max Gawn,Melbourne,Ruck
Braydon Preuss,Melbourne,Ruck
Austin Bradtke,Melbourne,Ruck
Todd Goldstein,North Melbourne,Ruck
Tristan Xerri,North Melbourne,Ruck
Paddy Ryder,Port Adelaide,Ruck
Scott Lycett,Port Adelaide,Ruck
Sam Hayes,Port Adelaide,Ruck
Toby Nankervis,Richmond,Ruck
Ivan Soldo,Richmond,Ruck
Mabior Chol,Richmond,Ruck
Callum Coleman-Jones,Richmond,Ruck
Rowan Marshall,St Kilda,Ruck
Billy Longer,St Kilda,Ruck
Lewis Pierce,St Kilda,Ruck
Sam Alabakis,St Kilda,Ruck
Callum Sinclair,Sydney Swans,Ruck
Sam Naismith,Sydney Swans,Ruck
Darcy Cameron,Sydney Swans,Ruck
Joel Amartey,Sydney Swans,Ruck
Michael Knoll,Sydney Swans,Ruck
Tom Hickey,West Coast Eagles,Ruck
Nic Naitanui,West Coast Eagles,Ruck
Nathan Vardy,West Coast Eagles,Ruck
Keegan Brooksby,West Coast Eagles,Ruck
Bailey J Williams,West Coast Eagles,Ruck
Tim English,Western Bulldogs,Ruck
Tom Boyd,Western Bulldogs,Ruck
Jordon Sweet,Western Bulldogs,Ruck
Rory Laird,Adelaide Crows,Defender
Wayne Milera,Adelaide Crows,Defender
Brodie Smith,Adelaide Crows,Defender
Luke Brown,Adelaide Crows,Defender
Jake Kelly,Adelaide Crows,Defender
Tom Doedee,Adelaide Crows,Defender
Will Hamill,Adelaide Crows,Defender
Andrew McPherson,Adelaide Crows,Defender
Lachlan Sholl,Adelaide Crows,Defender
Daniel Rich,Brisbane Lions,Defender
Luke Hodge,Brisbane Lions,Defender
Darcy Gardiner,Brisbane Lions,Defender
Alex Witherden,Brisbane Lions,Defender
Ryan Lester,Brisbane Lions,Defender
Nick Robertson,Brisbane Lions,Defender
Noah Answerth,Brisbane Lions,Defender
Cedric Cox,Brisbane Lions,Defender
James Madden,Brisbane Lions,Defender
Kade Simpson,Carlton,Defender
Dale Thomas,Carlton,Defender
Nic Newman,Carlton,Defender
Liam Stocker,Carlton,Defender
Tom Williamson,Carlton,Defender
Sam Docherty,Carlton,Defender
Jack Crisp,Collingwood,Defender
Jeremy Howe,Collingwood,Defender
Brayden Maynard,Collingwood,Defender
Tom Langdon,Collingwood,Defender
James Aish,Collingwood,Defender
Matt Scharenberg,Collingwood,Defender
Levi Greenwood,Collingwood,Defender
Sam Murray,Collingwood,Defender
Flynn Appleby,Collingwood,Defender
Tyson Goldsack,Collingwood,Defender
Isaac Quaynor,Collingwood,Defender
John Noble,Collingwood,Defender
Nathan Murphy,Collingwood,Defender
Conor McKenna,Essendon,Defender
Adam Saad,Essendon,Defender
Mason Redman,Essendon,Defender
Ben McNiece,Essendon,Defender
Matt Dea,Essendon,Defender
Martin Gleeson,Essendon,Defender
Jordan Ridley,Essendon,Defender
Luke Ryan,Fremantle,Defender
Nathan Wilson,Fremantle,Defender
Adam Cerra,Fremantle,Defender
Ethan Hughes,Fremantle,Defender
Connor Blakely,Fremantle,Defender
Taylin Duman,Fremantle,Defender
Ryan Nyhuis,Fremantle,Defender
Jason Carter,Fremantle,Defender
Zach Tuohy,Geelong Cats,Defender
Jack Henry,Geelong Cats,Defender
Jed Bews,Geelong Cats,Defender
Mark OConnor,Geelong Cats,Defender
Zach Guthrie,Geelong Cats,Defender
Oscar Brownless,Geelong Cats,Defender
Stefan Okunbor,Geelong Cats,Defender
Lachie Weller,Gold Coast Suns,Defender
Jarrod Harbrow,Gold Coast Suns,Defender
Jesse Joyce,Gold Coast Suns,Defender
Michael Rischitelli,Gold Coast Suns,Defender
Pearce Hanley,Gold Coast Suns,Defender
Jacob Heron,Gold Coast Suns,Defender
Jez McLennan,Gold Coast Suns,Defender
Harrison Wigg,Gold Coast Suns,Defender
Zac Williams,GWS Giants,Defender
Heath Shaw,GWS Giants,Defender
Adam Kennedy,GWS Giants,Defender
Sam J Reid,GWS Giants,Defender
Matt Buntine,GWS Giants,Defender
Isaac Cumming,GWS Giants,Defender
Jake Stein,GWS Giants,Defender
Callum M Brown,GWS Giants,Defender
James Sicily,Hawthorn,Defender
Blake Hardwick,Hawthorn,Defender
Jarman Impey,Hawthorn,Defender
Ben Stratton,Hawthorn,Defender
Jack Scrimshaw,Hawthorn,Defender
David Mirra,Hawthorn,Defender
Teia Miles,Hawthorn,Defender
Conor Glass,Hawthorn,Defender
Grant Birchall,Hawthorn,Defender
Damon Greaves,Hawthorn,Defender
Christian Salem,Melbourne,Defender
Jordan Lewis,Melbourne,Defender
Michael Hibberd,Melbourne,Defender
Neville Jetta,Melbourne,Defender
Jayden Hunt,Melbourne,Defender
Josh Wagner,Melbourne,Defender
Kade Kolodjashnij,Melbourne,Defender
Joel Smith,Melbourne,Defender
Guy Walker,Melbourne,Defender
Jamie Macmillan,North Melbourne,Defender
Jasper Pittard,North Melbourne,Defender
Marley Williams,North Melbourne,Defender
Luke McDonald,North Melbourne,Defender
Sam Wright,North Melbourne,Defender
Tom Murphy,North Melbourne,Defender
Joel Crocker,North Melbourne,Defender
Dan Houston,Port Adelaide,Defender
Tom Jonas,Port Adelaide,Defender
Tom Clurey,Port Adelaide,Defender
Darcy Byrne-Jones,Port Adelaide,Defender
Riley Bonner,Port Adelaide,Defender
Hamish Hartlett,Port Adelaide,Defender
Jarrod Lienert,Port Adelaide,Defender
Matthew Broadbent,Port Adelaide,Defender
Sam Mayes,Port Adelaide,Defender
Joel Garner,Port Adelaide,Defender
Trent McKenzie,Port Adelaide,Defender
Jack Trengove,Port Adelaide,Defender
Martin Frederick,Port Adelaide,Defender
Cam Hewett,Port Adelaide,Defender
Nick Vlastuin,Richmond,Defender
Dylan Grimes,Richmond,Defender
Jayden Short,Richmond,Defender
Bachar Houli,Richmond,Defender
Brandon Ellis,Richmond,Defender
Nathan Broad,Richmond,Defender
Sydney Stack,Richmond,Defender
Connor Menadue,Richmond,Defender
Derek Eggmolesse-Smith,Richmond,Defender
Shane Savage,St Kilda,Defender
Jimmy Webster,St Kilda,Defender
Daniel McKenzie,St Kilda,Defender
Jarryn Geary,St Kilda,Defender
Hunter Clark,St Kilda,Defender
Nick Coffield,St Kilda,Defender
Ben Paton,St Kilda,Defender
Bailey Rice,St Kilda,Defender
Brandon White,St Kilda,Defender
Dylan Roberton,St Kilda,Defender
Darragh Joyce,St Kilda,Defender
Doulton Langlands,St Kilda,Defender
Dane Rampe,Sydney Swans,Defender
Jake Lloyd,Sydney Swans,Defender
Zak Jones,Sydney Swans,Defender
Callum Mills,Sydney Swans,Defender
Jarrad McVeigh,Sydney Swans,Defender
Ryan Clarke,Sydney Swans,Defender
Nick Smith,Sydney Swans,Defender
Colin ORiordan,Sydney Swans,Defender
Lewis Melican,Sydney Swans,Defender
Matthew Ling,Sydney Swans,Defender
Harry Reynolds,Sydney Swans,Defender
Durak Tucker,Sydney Swans,Defender
Shannon Hurn,West Coast Eagles,Defender
Lewis Jetta,West Coast Eagles,Defender
Tom Barrass,West Coast Eagles,Defender
Liam Duggan,West Coast Eagles,Defender
Brad Sheppard,West Coast Eagles,Defender
Tom Cole,West Coast Eagles,Defender
Jackson Nelson,West Coast Eagles,Defender
Josh Rotham,West Coast Eagles,Defender
Francis Watson,West Coast Eagles,Defender
Luke Foley,West Coast Eagles,Defender
Brodie Riach,West Coast Eagles,Defender
Jason Johannisen,Western Bulldogs,Defender
Caleb Daniel,Western Bulldogs,Defender
Matt Suckling,Western Bulldogs,Defender
Hayden Crozier,Western Bulldogs,Defender
Ed Richards,Western Bulldogs,Defender
Easton Wood,Western Bulldogs,Defender
Taylor Duryea,Western Bulldogs,Defender
Bailey Williams,Western Bulldogs,Defender
Roarke Smith,Western Bulldogs,Defender
Brad Lynch,Western Bulldogs,Defender
Laitham Vandermeer,Western Bulldogs,Defender
Eddie Betts,Adelaide Crows,Forward
Tom Lynch,Adelaide Crows,Forward
Lachlan Murphy,Adelaide Crows,Forward
Jordan Gallucci,Adelaide Crows,Forward
Darcy Fogarty,Adelaide Crows,Forward
Chayce Jones,Adelaide Crows,Forward
Myles Poholke,Adelaide Crows,Forward
Tyson Stengle,Adelaide Crows,Forward
Ben Davis,Adelaide Crows,Forward
Shane McAdam,Adelaide Crows,Forward
Charlie Cameron,Brisbane Lions,Forward
Allen Christensen,Brisbane Lions,Forward
Lewis Taylor,Brisbane Lions,Forward
Cam Rayner,Brisbane Lions,Forward
Lincoln McCarthy,Brisbane Lions,Forward
Thomas Berry,Brisbane Lions,Forward
Connor McFadyen,Brisbane Lions,Forward
Jack Silvagni,Carlton,Forward
Michael Gibbons,Carlton,Forward
Cameron Polson,Carlton,Forward
Jarrod Garlett,Carlton,Forward
Jarrod Pickett,Carlton,Forward
Josh Deluca,Carlton,Forward
Alex Fasolo,Carlton,Forward
Tomas Bugg,Carlton,Forward
Kym Lebois,Carlton,Forward
Matthew Owies,Carlton,Forward
Josh Thomas,Collingwood,Forward
Jaidyn Stephenson,Collingwood,Forward
Travis Varcoe,Collingwood,Forward
Callum Brown,Collingwood,Forward
Jamie Elliott,Collingwood,Forward
Josh Daicos,Collingwood,Forward
Ben Crocker,Collingwood,Forward
Daniel Wells,Collingwood,Forward
Atu Bosenavulagi,Collingwood,Forward
Anton Tohill,Collingwood,Forward
Anthony McDonald-Tipungwuti,Essendon,Forward
Jake Stringer,Essendon,Forward
Orazio Fantasia,Essendon,Forward
Mark Baguley,Essendon,Forward
Jayden Laverde,Essendon,Forward
Josh Begley,Essendon,Forward
Jake Long,Essendon,Forward
Jordan Houlahan,Essendon,Forward
Irving Mosquito,Essendon,Forward
Brandon Matera,Fremantle,Forward
Sam Switkowski,Fremantle,Forward
Hayden Ballantyne,Fremantle,Forward
Mitch Crowden,Fremantle,Forward
Stefan Giro,Fremantle,Forward
Brett Bewley,Fremantle,Forward
Lachie Schultz,Fremantle,Forward
Harley Bennell,Fremantle,Forward
Sam Sturt,Fremantle,Forward
Brandan Parfitt,Geelong Cats,Forward
Gary Rohan,Geelong Cats,Forward
Gryan Miers,Geelong Cats,Forward
Tom Atkins,Geelong Cats,Forward
Lachie Fogarty,Geelong Cats,Forward
James Parsons,Geelong Cats,Forward
Quinton Narkle,Geelong Cats,Forward
Jamaine Jones,Geelong Cats,Forward
Nakia Cockatoo,Geelong Cats,Forward
Sam Simpson,Geelong Cats,Forward
Jake Tarca,Geelong Cats,Forward
Alex Sexton,Gold Coast Suns,Forward
Nick Holman,Gold Coast Suns,Forward
Darcy Macpherson,Gold Coast Suns,Forward
Ben Ainsworth,Gold Coast Suns,Forward
Aaron Young,Gold Coast Suns,Forward
Callum Ah Chee,Gold Coast Suns,Forward
Sean Lemmens,Gold Coast Suns,Forward
Connor Nutting,Gold Coast Suns,Forward
Izak Rankine,Gold Coast Suns,Forward
Toby Greene,GWS Giants,Forward
Brent Daniels,GWS Giants,Forward
Daniel Lloyd,GWS Giants,Forward
Zac Langdon,GWS Giants,Forward
Bobby Hill,GWS Giants,Forward
Aiden Bonar,GWS Giants,Forward
Dylan Buckley,GWS Giants,Forward
Luke Breust,Hawthorn,Forward
Paul Puopolo,Hawthorn,Forward
Dylan Moore,Hawthorn,Forward
Changkuoth Jiath,Hawthorn,Forward
Darren Minchington,Hawthorn,Forward
Mathew Walker,Hawthorn,Forward
Jake Melksham,Melbourne,Forward
Alex Neal-Bullen,Melbourne,Forward
Mitch Hannan,Melbourne,Forward
Charlie Spargo,Melbourne,Forward
Jeff Garlett,Melbourne,Forward
Jay Lockhart,Melbourne,Forward
Kyle Dunkley,Melbourne,Forward
Tom Sparrow,Melbourne,Forward
Toby Bedford,Melbourne,Forward
Shaun Atley,North Melbourne,Forward
Kayne Turner,North Melbourne,Forward
Mason Wood,North Melbourne,Forward
Cameron Zurhaar,North Melbourne,Forward
Tarryn Thomas,North Melbourne,Forward
Nathan Hrovat,North Melbourne,Forward
Taylor Garner,North Melbourne,Forward
Will Walker,North Melbourne,Forward
Curtis Taylor,North Melbourne,Forward
Lachlan Hosie,North Melbourne,Forward
Red Og Murphy,North Melbourne,Forward
Tom Wilkinson,North Melbourne,Forward
Sam Gray,Port Adelaide,Forward
Connor Rozee,Port Adelaide,Forward
Jack Watts,Port Adelaide,Forward
Zak Butters,Port Adelaide,Forward
Kane Farrell,Port Adelaide,Forward
Aidyn Johnson,Port Adelaide,Forward
Tobin Cox,Port Adelaide,Forward
Boyd Woodcock,Port Adelaide,Forward
Jack Higgins,Richmond,Forward
Daniel Rioli,Richmond,Forward
Jason Castagna,Richmond,Forward
Dan Butler,Richmond,Forward
Liam Baker,Richmond,Forward
Shai Bolton,Richmond,Forward
Maverick Weller,Richmond,Forward
Jacob Townsend,Richmond,Forward
Callum Moore,Richmond,Forward
Jake Aarts,Richmond,Forward
Jade Gresham,St Kilda,Forward
Tim Membrey,St Kilda,Forward
Ben Long,St Kilda,Forward
Jack Lonie,St Kilda,Forward
Dean Kent,St Kilda,Forward
Nick Hind,St Kilda,Forward
Matthew Parker,St Kilda,Forward
Robbie Young,St Kilda,Forward
Tom Papley,Sydney Swans,Forward
Jordan Dawson,Sydney Swans,Forward
Will Hayward,Sydney Swans,Forward
Ben Ronke,Sydney Swans,Forward
Daniel Menzel,Sydney Swans,Forward
Robbie Fox,Sydney Swans,Forward
James Rose,Sydney Swans,Forward
Ryley Stoddart,Sydney Swans,Forward
Jamie Cripps,West Coast Eagles,Midfield
Willie Rioli,West Coast Eagles,Forward
Liam Ryan,West Coast Eagles,Midfield
Jack Petruccelle,West Coast Eagles,Midfield
Daniel Venables,West Coast Eagles,Forward
Brendon Ah Chee,West Coast Eagles,Forward
Jarrod Cameron,West Coast Eagles,Forward
Josh Smith,West Coast Eagles,Forward
Kurt Mutimer,West Coast Eagles,Forward
Tory Dickson,Western Bulldogs,Forward
Billy Gowers,Western Bulldogs,Forward
Lukas Webb,Western Bulldogs,Forward
Ben Cavarra,Western Bulldogs,Forward
