Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2019,R1G2,Carlton,64,MCG,Docklands,VIC,18
2019,R1G2,Collingwood,65,MCG,MCG,VIC,3
2019,R1G3,Melbourne,61,MCG,MCG,VIC,5
2019,r1g4,Adelaide,55,Adelaide Oval,Adelaide Oval,SA,12
2019,r1g5,Western Bulldogs,82,Docklands,Docklands,VIC,13
2019,r1g6,Brisbane,102,Gabba,Gabba,QLD,15
2019,r1g7,St. Kilda,85,Docklands,Docklands,VIC,16
2019,r1g8,Greater Western Sydney,112,Sydney Showground,Sydney Showground,NSW,7
2019,r1g9,Fremantle,141,Perth Stadium,Perth Stadium,WA,14
2019,r2g1,Richmond,66,MCG,MCG,VIC,5
2019,r2g2,Sydney,65,SCG,SCG,NSW,12
2019,r2g3,Essendon,65,Docklands,Docklands,VIC,18
2019,r2g4,Port Adelaide,88,Adelaide Oval,Adelaide Oval,SA,6
2019,r2g5,West Coast,104,Perth Stadium,Perth Stadium,WA,16
2019,r2g6,Geelong,126,Kardinia Park,Kardinia Park,VIC,8
2019,r2g7,North Melbourne,87,Docklands,Docklands,VIC,17
2019,r2g8,Hawthorn,87,MCG,MCG,VIC,4
2019,r2g9,Gold Coast,61,Metricon,Metricon,QLD,10
2019,r3g1,Adelaide,75,Adelaide Oval,Adelaide Oval,SA,12
2019,r3g2,Melbourne,112,MCG,MCG,VIC,18
2019,r3g3,Carlton,74,Docklands,Docklands,VIC,15
2019,r3g4,Greater Western Sydney,125,Sydney Showground,Sydney Showground,NSW,8
2019,r3g5,Brisbane,107,Gabba,Gabba,QLD,2
2019,r3g6,Collingwood,76,MCG,MCG,VIC,7
2019,r3g7,Western Bulldogs,68,Docklands,Docklands,VIC,4
2019,r3g8,Hawthorn,87,MCG,MCG,VIC,9
2019,r3g9,Fremantle,71,Perth Stadium,Perth Stadium,WA,6
2019,r4g1,Sydney,78,SCG,SCG,NSW,12
2019,r4g2,Collingwood,78,MCG,MCG,VIC,11
2019,r4g3,Geelong,75,Kardinia Park,Kardinia Park,VIC,1
2019,r4g4,Essendon,112,MCG,Docklands,VIC,15
2019,r4g5,Port Adelaide,92,Adelaide Oval,Adelaide Oval,SA,8
2019,r4g6,North Melbourne,71,Docklands,Docklands,VIC,17
2019,r4g7,West Coast,69,Perth Stadium,Perth Stadium,WA,6
2019,r4g8,Gold Coast,59,Metricon,Metricon,QLD,9
2019,r4g9,St. Kilda,74,Docklands,Docklands,VIC,10
2019,r5g1,Brisbane,61,Gabba,Gabba,QLD,4
2019,r5g2,North Melbourne,58,Docklands,Docklands,VIC,17
2019,r5g3,West Coast,53,Perth Stadium,Perth Stadium,WA,3
2019,r5g4,Greater Western Sydney,82,UNSW Canberra Oval,Sydney Showground,NSW,2
2019,r5g5,Melbourne,55,MCG,MCG,VIC,16
2019,r5g6,Richmond,89,Docklands,MCG,VIC,13
2019,r5g7,Western Bulldogs,57,Docklands,Docklands,VIC,10
2019,r5g8,Adelaide,119,Adelaide Oval,Adelaide Oval,SA,14
2019,r5g9,Hawthorn,90,MCG,MCG,VIC,9
2019,r6g1,Richmond,85,MCG,MCG,VIC,10
2019,r6g2,Essendon,69,MCG,Docklands,VIC,7
2019,r6g3,Port Adelaide,88,Adelaide Oval,Adelaide Oval,SA,5
2019,r6g4,Gold Coast,62,Metricon,Metricon,QLD,11
2019,r6g5,St. Kilda,68,Docklands,Docklands,VIC,2
2019,r6g6,Sydney,79,SCG,SCG,NSW,16
2019,r6g7,Fremantle,88,Perth Stadium,Perth Stadium,WA,3
2019,r6g8,Hawthorn,93,University of Tasmania Stadium,MCG,VIC,13
2019,r6g9,Geelong,104,Kardinia Park,Kardinia Park,VIC,1
2019,r7g1,Collingwood,108,Docklands,MCG,VIC,3
2019,r7g2,Melbourne,79,MCG,MCG,VIC,18
2019,r7g3,Greater Western Sydney,114,UNSW Canberra Oval,Sydney Showground,NSW,4
2019,r7g4,Brisbane,103,Gabba,Gabba,QLD,7
2019,r7g5,Western Bulldogs,99,Docklands,Docklands,VIC,14
2019,r7g6,West Coast,80,Perth Stadium,Perth Stadium,WA,12
2019,r7g7,Carlton,62,Docklands,Docklands,VIC,15
2019,r7g8,Geelong,86,MCG,Kardinia Park,VIC,1
2019,r7g9,Adelaide,51,Adelaide Oval,Adelaide Oval,SA,9
2019,r8g1,Sydney,77,SCG,SCG,NSW,18
2019,r8g2,Western Bulldogs,92,Eureka,Docklands,VIC,12
2019,r8g3,Carlton,87,MCG,Docklands,VIC,17
2019,r8g4,Gold Coast,60,Metricon,Metricon,QLD,14
2019,r8g5,St. Kilda,70,Docklands,Docklands,VIC,8
2019,r8g6,Port Adelaide,68,Adelaide Oval,Adelaide Oval,SA,7
2019,r8g7,North Melbourne,80,Docklands,Docklands,VIC,15
2019,r8g8,Hawthorn,71,MCG,MCG,VIC,13
2019,r8g9,Fremantle,86,Perth Stadium,Perth Stadium,WA,5
2019,r9g1,West Coast,85,Perth Stadium,Perth Stadium,WA,7
2019,r9g2,Collingwood,112,MCG,MCG,VIC,2
2019,r9g3,Brisbane,93,Gabba,Gabba,QLD,5
2019,r9g4,Geelong,133,Kardinia Park,Kardinia Park,VIC,1
2019,r9g5,Essendon,60,Docklands,Docklands,VIC,13
2019,r9g6,North Melbourne,72,Blundstone Arena,Docklands,VIC,17
2019,r9g7,Port Adelaide,89,Adelaide Oval,Adelaide Oval,SA,11
2019,r9g8,Richmond,95,MCG,MCG,VIC,6
2019,r9g9,Greater Western Sydney,138,Sydney Showground,Sydney Showground,NSW,4
2019,r10g1,Sydney,73,SCG,SCG,NSW,14
2019,r10g2,Hawthorn,80,University of Tasmania Stadium,MCG,VIC,11
2019,r10g3,Western Bulldogs,90,Docklands,Docklands,VIC,12
2019,r10g4,Adelaide,73,Adelaide Oval,Adelaide Oval,SA,7
2019,r10g5,Gold Coast,64,Metricon,Metricon,QLD,16
2019,r10g6,Richmond,73,MCG,MCG,VIC,5
2019,r10g7,Melbourne,68,MCG,MCG,VIC,15
2019,r10g8,St. Kilda,68,Docklands,Docklands,VIC,13
2019,r10g9,Fremantle,73,Perth Stadium,Perth Stadium,WA,9
2019,r11g1,North Melbourne,99,Docklands,Docklands,VIC,14
2019,r11g2,Collingwood,75,MCG,MCG,VIC,2
2019,r11g3,Greater Western Sydney,126,Sydney Showground,Sydney Showground,NSW,3
2019,r11g4,Geelong,85,Kardinia Park,Kardinia Park,VIC,1
2019,r11g5,Brisbane,85,Gabba,Gabba,QLD,6
2019,r11g6,Melbourne,88,TIO Stadium,MCG,VIC,16
2019,r11g7,St. Kilda,69,Jiangwan Stadium,Docklands,VIC,12
2019,r11g8,Essendon,74,MCG,Docklands,VIC,10
2019,r11g9,West Coast,133,Perth Stadium,Perth Stadium,WA,4
2019,r12g1,Richmond,37,MCG,MCG,VIC,6
2019,r12g2,Carlton,78,Docklands,Docklands,VIC,18
2019,r12g3,Gold Coast,72,Metricon,Metricon,QLD,17
2019,r12g4,Adelaide,82,Adelaide Oval,Adelaide Oval,SA,8
2019,r12g5,Sydney,116,SCG,SCG,NSW,15
2019,r12g6,Collingwood,98,MCG,MCG,VIC,3
2019,r13g1,Adelaide,101,Adelaide Oval,Adelaide Oval,SA,5
2019,r13g2,Essendon,96,Docklands,Docklands,VIC,10
2019,r13g3,Gold Coast,76,Riverway Stadium,Metricon,QLD,17
2019,r13g4,Fremantle,100,Perth Stadium,Perth Stadium,WA,9
2019,r13g5,Carlton,100,Docklands,Docklands,VIC,18
2019,r13g6,North Melbourne,68,Blundstone Arena,Docklands,VIC,12
2019,r14g1,West Coast,106,Perth Stadium,Perth Stadium,WA,5
2019,r14g2,Sydney,82,SCG,SCG,NSW,15
2019,r14g3,Melbourne,85,MCG,MCG,VIC,16
2019,r14g4,St. Kilda,59,Docklands,Docklands,VIC,11
2019,r14g5,Port Adelaide,67,Adelaide Oval,Adelaide Oval,SA,9
2019,r14g6,Western Bulldogs,73,Docklands,Docklands,VIC,14
2019,r15g1,Essendon,77,Docklands,Docklands,VIC,10
2019,r15g2,Geelong,96,Kardinia Park,Kardinia Park,VIC,1
2019,r15g3,Hawthorn,71,MCG,MCG,VIC,12
2019,r15g4,Sydney,93,SCG,SCG,NSW,14
2019,r15g5,Collingwood,37,Docklands,MCG,VIC,2
2019,r15g6,Port Adelaide,41,Adelaide Oval,Adelaide Oval,SA,7
2019,r15g7,St. Kilda,70,Docklands,Docklands,VIC,11
2019,r15g8,Brisbane,107,Gabba,Gabba,QLD,6
2019,r15g9,Fremantle,75,Perth Stadium,Perth Stadium,WA,8
2019,r16g1,Hawthorn,67,MCG,MCG,VIC,15
2019,r16g2,Essendon,76,MCG,Docklands,VIC,10
2019,r16g3,Gold Coast,58,Metricon,Metricon,QLD,18
2019,r16g4,Adelaide,44,Adelaide Oval,Adelaide Oval,SA,6
2019,r16g5,Western Bulldogs,71,Docklands,Docklands,VIC,13
2019,r16g6,Fremantle,31,Perth Stadium,Perth Stadium,WA,8
2019,r16g7,Carlton,100,MCG,Docklands,VIC,17
2019,r16g8,North Melbourne,112,Blundstone Arena,Docklands,VIC,11
2019,r16g9,Greater Western Sydney,74,Sydney Showground,Sydney Showground,NSW,4
2019,r17g1,West Coast,77,Perth Stadium,Perth Stadium,WA,2
2019,r17g2,Sydney,62,scg,SCG,NSW,14
2019,r17g3,Hawthorn,84,University of Tasmania Stadium,MCG,VIC,13
2019,r17g4,Essendon,86,Docklands,Docklands,VIC,9
2019,r17g5,Gold Coast,56,Metricon,Metricon,QLD,18
2019,r17g6,Geelong,84,Kardinia Park,Kardinia Park,VIC,1
2019,r17g7,Richmond,94,MCG,MCG,VIC,6
2019,r17g8,Western Bulldogs,74,Docklands,Docklands,VIC,12
2019,r17g9,Port Adelaide,49,Adelaide Oval,Adelaide Oval,SA,7
2019,r18g1,Adelaide,75,Adelaide Oval,Adelaide Oval,SA,7
2019,r18g2,Richmond,101,mcg,MCG,VIC,5
2019,r18g3,Carlton,99,Docklands,Docklands,VIC,17
2019,r18g4,Greater Western Sydney,122,Sydney Showground,Sydney Showground,NSW,6
2019,r18g5,Brisbane,87,Gabba,Gabba,QLD,3
2019,r18g6,Fremantle,52,Perth Stadium,Perth Stadium,WA,13
2019,r18g7,Geelong,61,MCG,Kardinia Park,VIC,1
2019,r18g8,Melbourne,78,TIO Stadium,MCG,VIC,16
2019,r18g9,St. Kilda,116,Docklands,Docklands,VIC,15
2019,r19g1,Collingwood,66,MCG,MCG,VIC,4
2019,r19g2,Hawthorn,60,University of Tasmania Stadium,MCG,VIC,10
2019,r19g3,Carlton,87,MCG,Docklands,VIC,16
2019,r19g4,West Coast,121,Perth Stadium,Perth Stadium,WA,3
2019,r19g5,St. Kilda,104,Docklands,Docklands,VIC,14
2019,r19g6,Port Adelaide,55,Adelaide Oval,Adelaide Oval,SA,9
2019,r19g7,Western Bulldogs,113,Docklands,Docklands,VIC,12
2019,r19g8,Sydney,80,SCG,SCG,NSW,15
2019,r19g9,Gold Coast,96,Metricon,Metricon,QLD,18
2019,r20g1,North Melbourne,86,Docklands,Docklands,VIC,14
2019,r20g2,Essendon,67,Docklands,Docklands,VIC,7
2019,r20g3,Greater Western Sydney,83,Sydney Showground,Sydney Showground,NSW,5
2019,r20g4,Fremantle,95,Perth Stadium,Perth Stadium,WA,12
2019,r20g5,Melbourne,60,MCG,MCG,VIC,17
2019,r20g6,Adelaide,92,Adelaide Oval,Adelaide Oval,SA,8
2019,r20g7,Collingwood,120,MCG,MCG,VIC,6
2019,r20g8,Carlton,75,Docklands,Docklands,VIC,16
2019,r20g9,Brisbane,95,Gabba,Gabba,QLD,3
2019,r21g1,Greater Western Sydney,29,UNSW Canberra Oval,Sydney Showground,NSW,5
2019,r21g2,Melbourne,53,MCG,MCG,VIC,17
2019,r21g3,Port Adelaide,103,Adelaide Oval,Adelaide Oval,SA,9
2019,r21g4,Brisbane,144,Gabba,Gabba,QLD,3
2019,r21g5,Essendon,33,Docklands,Docklands,VIC,7
2019,r21g6,Geelong,69,Kardinia Park,Kardinia Park,VIC,1
2019,r21g7,St. Kilda,72,Docklands,Docklands,VIC,14
2019,r21g8,Richmond,73,MCG,MCG,VIC,4
2019,r21g9,West Coast,90,Perth Stadium,Perth Stadium,WA,2
2019,r22g1,Melbourne,42,MCG,MCG,VIC,17
2019,r22g2,Carlton,78,MCG,Docklands,VIC,16
2019,r22g3,Brisbane,75,Gabba,Gabba,QLD,2
2019,r22g4,Adelaide,48,Adelaide Oval,Adelaide Oval,SA,9
2019,r22g5,North Melbourne,144,Docklands,Docklands,VIC,14
2019,r22g6,Fremantle,55,Perth Stadium,Perth Stadium,WA,12
2019,r22g7,Richmond,88,MCG,MCG,VIC,4
2019,r22g8,Greater Western Sydney,65,Sydney Showground,Sydney Showground,NSW,6
2019,r22g9,Hawthorn,118,Docklands,MCG,VIC,11
2019,r23g1,Collingwood,76,MCG,MCG,VIC,5
2019,r23g2,Sydney,109,SCG,SCG,NSW,15
2019,r23g3,North Melbourne,88,Blundstone Arena,Docklands,VIC,12
2019,r23g4,Geelong,129,Kardinia Park,Kardinia Park,VIC,2
2019,r23g5,Gold Coast,55,Metricon,Metricon,QLD,18
2019,r23g6,West Coast,67,Perth Stadium,Perth Stadium,WA,3
2019,r23g7,Western Bulldogs,121,Eureka,Docklands,VIC,8
2019,r23g8,Richmond,82,MCG,MCG,VIC,4
2019,r23g9,Port Adelaide,110,Adelaide Oval,Adelaide Oval,SA,11
2018,r1g1,Richmond,121,MCG,MCG,VIC,3
2018,r1g2,Essendon,99,Docklands,Docklands,VIC,7
2018,r1g3,St. Kilda,107,Docklands,Docklands,VIC,11
2018,r1g4,Port Adelaide,110,Adelaide Oval,Adelaide Oval,SA,5
2018,r1g5,Gold Coast,55,Cazaly's Stadium,Metricon,QLD,17
2018,r1g6,Hawthorn,101,MCG,MCG,VIC,12
2018,r1g7,Greater Western Sydney,133,UNSW Canberra Oval,Sydney Showground,NSW,4
2018,r1g8,Melbourne,94,MCG,MCG,VIC,9
2018,r1g9,West Coast,86,Perth Stadium,Perth Stadium,WA,8
2018,r2g1,Adelaide,118,Adelaide Oval,Adelaide Oval,SA,11
2018,r2g2,North Melbourne,95,Docklands,Docklands,VIC,15
2018,r2g3,Carlton,67,Docklands,Docklands,VIC,12
2018,r2g4,Collingwood,79,MCG,MCG,VIC,16
2018,r2g5,Brisbane,74,Gabba,Gabba,QLD,13
2018,r2g6,Fremantle,106,Perth Stadium,Perth Stadium,WA,17
2018,r2g7,Western Bulldogs,70,Docklands,Docklands,VIC,18
2018,r2g8,Sydney,71,SCG,SCG,NSW,5
2018,r2g9,Geelong,117,MCG,Kardinia Park,VIC,9
2018,r3g1,Carlton,76,MCG,Docklands,VIC,17
2018,r3g2,Port Adelaide,97,Adelaide Oval,Adelaide Oval,SA,2
2018,r3g3,Melbourne,123,MCG,MCG,VIC,6
2018,r3g4,Gold Coast,68,Perth Stadium,Metricon,QLD,3
2018,r3g5,Sydney,103,SCG,SCG,NSW,9
2018,r3g6,St. Kilda,55,Docklands,Docklands,VIC,13
2018,r3g7,Richmond,102,MCG,MCG,VIC,12
2018,r3g8,Western Bulldogs,104,Docklands,Docklands,VIC,18
2018,r3g9,West Coast,95,Perth Stadium,Perth Stadium,WA,8
2018,r4g1,Adelaide,58,Adelaide Oval,Adelaide Oval,SA,3
2018,r4g2,Greater Western Sydney,82,UNSW Canberra Oval,Sydney Showground,NSW,2
2018,r4g3,Richmond,110,MCG,MCG,VIC,9
2018,r4g4,Western Bulldogs,79,Docklands,Docklands,VIC,16
2018,r4g5,North Melbourne,116,Blundstone Arena,Docklands,VIC,11
2018,r4g6,West Coast,139,Perth Stadium,Perth Stadium,WA,5
2018,r4g7,Essendon,106,Docklands,Docklands,VIC,13
2018,r4g8,Hawthorn,115,MCG,MCG,VIC,8
2018,r4g9,Geelong,103,Kardinia Park,Kardinia Park,VIC,12
2018,r5g1,Sydney,75,SCG,SCG,NSW,6
2018,r5g2,St. Kilda,73,Docklands,Docklands,VIC,16
2018,r5g3,Carlton,69,MCG,Docklands,VIC,18
2018,r5g4,Port Adelaide,50,Adelaide Oval,Adelaide Oval,SA,5
2018,r5g5,Fremantle,108,Perth Stadium,Perth Stadium,WA,13
2018,r5g6,North Melbourne,98,Docklands,Docklands,VIC,7
2018,r5g7,Brisbane,71,Gabba,Gabba,QLD,17
2018,r5g8,Melbourne,56,MCG,MCG,VIC,12
2018,r5g9,Collingwood,101,MCG,MCG,VIC,10
2018,r6g1,Western Bulldogs,80,Docklands,Docklands,VIC,16
2018,r6g2,Geelong,69,Kardinia Park,Kardinia Park,VIC,6
2018,r6g3,North Melbourne,69,Docklands,Docklands,VIC,4
2018,r6g4,Greater Western Sydney,77,Sydney Showground,Sydney Showground,NSW,3
2018,r6g5,Hawthorn,89,University of Tasmania Stadium,MCG,VIC,7
2018,r6g6,Adelaide,110,Adelaide Oval,Adelaide Oval,SA,8
2018,r6g7,Essendon,72,Docklands,Docklands,VIC,13
2018,r6g8,Collingwood,70,MCG,MCG,VIC,5
2018,r6g9,Fremantle,81,Perth Stadium,Perth Stadium,WA,11
2018,r7g1,Geelong,93,Kardinia Park,Kardinia Park,VIC,9
2018,r7g2,Western Bulldogs,81,Eureka,Docklands,VIC,15
2018,r7g3,Essendon,67,MCG,Docklands,VIC,14
2018,r7g4,West Coast,102,Perth Stadium,Perth Stadium,WA,2
2018,r7g5,Sydney,66,SCG,SCG,NSW,7
2018,r7g6,Adelaide,125,Adelaide Oval,Adelaide Oval,SA,5
2018,r7g7,Richmond,110,MCG,MCG,VIC,1
2018,r7g8,St. Kilda,67,Docklands,Docklands,VIC,16
2018,r7g9,Brisbane,114,Gabba,Gabba,QLD,17
2018,r8g1,Hawthorn,71,MCG,MCG,VIC,4
2018,r8g2,Greater Western Sydney,61,Sydney Showground,Sydney Showground,NSW,5
2018,r8g3,Carlton,91,MCG,Docklands,VIC,18
2018,r8g4,Gold Coast,77,Gabba,Metricon,QLD,13
2018,r8g5,Port Adelaide,95,Adelaide Oval,Adelaide Oval,SA,11
2018,r8g6,Western Bulldogs,107,Docklands,Docklands,VIC,14
2018,r8g7,Fremantle,89,Perth Stadium,Perth Stadium,WA,12
2018,r8g8,North Melbourne,72,Docklands,Docklands,VIC,7
2018,r8g9,Collingwood,45,MCG,MCG,VIC,9
2018,r9g1,Adelaide,63,Adelaide Oval,Adelaide Oval,SA,4
2018,r9g2,North Melbourne,112,Blundstone Arena,Docklands,VIC,10
2018,r9g3,Gold Coast,42,Jiangwan Stadium,Metricon,QLD,14
2018,r9g4,Essendon,84,MCG,Docklands,VIC,15
2018,r9g5,Sydney,111,SCG,SCG,NSW,7
2018,r9g6,St. Kilda,72,Docklands,Docklands,VIC,16
2018,r9g7,Carlton,50,MCG,Docklands,VIC,17
2018,r9g8,Brisbane,129,Gabba,Gabba,QLD,18
2018,r9g9,West Coast,130,Perth Stadium,Perth Stadium,WA,2
2018,r10g1,Collingwood,90,Docklands,MCG,VIC,10
2018,r10g2,Richmond,105,MCG,MCG,VIC,2
2018,r10g3,Brisbane,49,Gabba,Gabba,QLD,17
2018,r10g4,Geelong,73,Kardinia Park,Kardinia Park,VIC,8
2018,r10g5,Greater Western Sydney,60,Sydney Showground,Sydney Showground,NSW,11
2018,r10g6,Hawthorn,60,Docklands,MCG,VIC,9
2018,r10g7,Melbourne,146,TIO Stadium,MCG,VIC,3
2018,r10g8,Fremantle,58,Perth Stadium,Perth Stadium,WA,12
2018,r11g1,Sydney,91,SCG,SCG,NSW,4
2018,r11g2,Western Bulldogs,51,Docklands,Docklands,VIC,14
2018,r11g3,Hawthorn,64,University of Tasmania Stadium,MCG,VIC,10
2018,r11g4,Gold Coast,36,Metricon,Metricon,QLD,15
2018,r11g5,Essendon,43,MCG,Docklands,VIC,12
2018,r11g6,West Coast,101,Perth Stadium,Perth Stadium,WA,1
2018,r11g7,North Melbourne,141,Docklands,Docklands,VIC,5
2018,r11g8,Collingwood,138,MCG,MCG,VIC,8
2018,r11g9,Adelaide,81,Adelaide Oval,Adelaide Oval,SA,7
2018,r12g1,Port Adelaide,72,Adelaide Oval,Adelaide Oval,SA,8
2018,r12g2,Geelong,96,Kardinia Park,Kardinia Park,VIC,5
2018,r12g3,Greater Western Sydney,134,Sydney Showground,Sydney Showground,NSW,11
2018,r12g4,St. Kilda,55,Docklands,Docklands,VIC,16
2018,r12g5,Brisbane,62,Gabba,Gabba,QLD,17
2018,r12g6,Fremantle,71,Perth Stadium,Perth Stadium,WA,13
2018,r12g7,Melbourne,91,MCG,MCG,VIC,3
2018,r13g1,Port Adelaide,132,Adelaide Oval,Adelaide Oval,SA,8
2018,r13g2,Sydney,72,SCG,SCG,NSW,3
2018,r13g3,Carlton,46,Docklands,Docklands,VIC,18
2018,r13g4,Gold Coast,78,Metricon,Metricon,QLD,15
2018,r13g5,Hawthorn,88,MCG,MCG,VIC,11
2018,r13g6,Geelong,65,MCG,Kardinia Park,VIC,4
2018,r14g1,West Coast,52,Perth Stadium,Perth Stadium,WA,2
2018,r14g2,Port Adelaide,75,Adelaide Oval,Adelaide Oval,SA,7
2018,r14g3,Hawthorn,96,University of Tasmania Stadium,MCG,VIC,9
2018,r14g4,Brisbane,82,Gabba,Gabba,QLD,17
2018,r14g5,Western Bulldogs,75,Docklands,Docklands,VIC,14
2018,r14g6,Collingwood,79,MCG,MCG,VIC,6
2018,r15g1,Richmond,93,Docklands,MCG,VIC,1
