Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2018,r15g2,Western Bulldogs,103,Docklands,Docklands,VIC,14
2018,r15g3,Carlton,69,MCG,Docklands,VIC,18
2018,r15g4,Adelaide,88,Adelaide Oval,Adelaide Oval,SA,11
2018,r15g5,Gold Coast,60,Metricon,Metricon,QLD,15
2018,r15g6,Greater Western Sydney,95,Sydney Showground,Sydney Showground,NSW,10
2018,r15g7,Melbourne,117,MCG,MCG,VIC,6
2018,r15g8,Essendon,125,Docklands,Docklands,VIC,12
2018,r15g9,Fremantle,64,Perth Stadium,Perth Stadium,WA,13
2018,r16g1,Sydney,59,SCG,SCG,NSW,4
2018,r16g2,Richmond,103,MCG,MCG,VIC,1
2018,r16g3,Brisbane,120,Gabba,Gabba,QLD,17
2018,r16g4,Port Adelaide,86,Adelaide Oval,Adelaide Oval,SA,5
2018,r16g5,Western Bulldogs,59,Docklands,Docklands,VIC,14
2018,r16g6,Melbourne,102,TIO Stadium,MCG,VIC,7
2018,r16g7,North Melbourne,95,Docklands,Docklands,VIC,9
2018,r16g8,Essendon,62,MCG,Docklands,VIC,12
2018,r16g9,West Coast,86,Perth Stadium,Perth Stadium,WA,3
2018,r17g1,Adelaide,112,Adelaide Oval,Adelaide Oval,SA,11
2018,r17g2,St. Kilda,116,Docklands,Docklands,VIC,15
2018,r17g3,Hawthorn,65,University of Tasmania Stadium,MCG,VIC,8
2018,r17g4,Melbourne,119,MCG,MCG,VIC,6
2018,r17g5,Gold Coast,51,Metricon,Metricon,QLD,17
2018,r17g6,Greater Western Sydney,79,Sydney Showground,Sydney Showground,NSW,10
2018,r17g7,Collingwood,67,MCG,MCG,VIC,2
2018,r17g8,North Melbourne,98,Docklands,Docklands,VIC,9
2018,r17g9,Fremantle,59,Perth Stadium,Perth Stadium,WA,13
2018,r18g1,St. Kilda,57,Docklands,Docklands,VIC,15
2018,r18g2,Collingwood,130,MCG,MCG,VIC,3
2018,r18g3,Sydney,64,SCG,SCG,NSW,4
2018,r18g4,Essendon,99,Docklands,Docklands,VIC,12
2018,r18g5,Brisbane,88,Gabba,Gabba,QLD,16
2018,r18g6,Geelong,100,Kardinia Park,Kardinia Park,VIC,8
2018,r18g7,Carlton,52,Docklands,Docklands,VIC,18
2018,r18g8,West Coast,100,Perth Stadium,Perth Stadium,WA,2
2018,r18g9,Port Adelaide,58,Adelaide Oval,Adelaide Oval,SA,5
2018,r19g1,Essendon,109,Docklands,Docklands,VIC,11
2018,r19g2,Richmond,105,MCG,MCG,VIC,1
2018,r19g3,Geelong,120,Kardinia Park,Kardinia Park,VIC,9
2018,r19g4,Greater Western Sydney,86,Sydney Showground,Sydney Showground,NSW,6
2018,r19g5,Gold Coast,44,Metricon,Metricon,QLD,17
2018,r19g6,Adelaide,77,Adelaide Oval,Adelaide Oval,SA,12
2018,r19g7,North Melbourne,81,Blundstone Arena,Docklands,VIC,10
2018,r19g8,Western Bulldogs,34,Eureka,Docklands,VIC,14
2018,r19g9,Fremantle,53,Perth Stadium,Perth Stadium,WA,13
2018,r20g1,Richmond,85,MCG,MCG,VIC,1
2018,r20g2,Hawthorn,107,MCG,MCG,VIC,7
2018,r20g3,Brisbane,104,Gabba,Gabba,QLD,16
2018,r20g4,Adelaide,96,Adelaide Oval,Adelaide Oval,SA,12
2018,r20g5,St. Kilda,68,Docklands,Docklands,VIC,15
2018,r20g6,Sydney,73,SCG,SCG,NSW,9
2018,r20g7,Carlton,46,Docklands,Docklands,VIC,18
2018,r20g8,Melbourne,143,MCG,MCG,VIC,6
2018,r20g9,West Coast,142,Perth Stadium,Perth Stadium,WA,2
2018,r21g1,Essendon,122,Docklands,Docklands,VIC,11
2018,r21g2,Hawthorn,71,MCG,MCG,VIC,5
2018,r21g3,Gold Coast,51,Metricon,Metricon,QLD,17
2018,r21g4,Port Adelaide,58,Adelaide Oval,Adelaide Oval,SA,7
2018,r21g5,Collingwood,104,Docklands,MCG,VIC,6
2018,r21g6,Greater Western Sydney,106,Manuka Oval,Sydney Showground,NSW,3
2018,r21g7,North Melbourne,85,Docklands,Docklands,VIC,10
2018,r21g8,Melbourne,78,MCG,MCG,VIC,4
2018,r21g9,Fremantle,101,Perth Stadium,Perth Stadium,WA,13
2018,r22g1,Richmond,81,MCG,MCG,VIC,1
2018,r22g2,Collingwood,115,MCG,MCG,VIC,5
2018,r22g3,Geelong,158,Kardinia Park,Kardinia Park,VIC,9
2018,r22g4,Greater Western Sydney,60,Sydney Showground,Sydney Showground,NSW,3
2018,r22g5,Gold Coast,74,Metricon,Metricon,QLD,17
2018,r22g6,St. Kilda,76,Docklands,Docklands,VIC,15
2018,r22g7,Carlton,49,Docklands,Docklands,VIC,18
2018,r22g8,West Coast,91,Perth Stadium,Perth Stadium,WA,2
2018,r22g9,Adelaide,86,Adelaide Oval,Adelaide Oval,SA,12
2018,r23g1,Port Adelaide,89,Adelaide Oval,Adelaide Oval,SA,9
2018,r23g2,Geelong,142,Kardinia Park,Kardinia Park,VIC,8
2018,r23g3,Richmond,98,MCG,MCG,VIC,1
2018,r23g4,Fremantle,67,Perth Stadium,Perth Stadium,WA,14
2018,r23g5,Carlton,61,Docklands,Docklands,VIC,18
2018,r23g6,Sydney,74,SCG,SCG,NSW,5
2018,r23g7,Brisbane,72,Gabba,Gabba,QLD,15
2018,r23g8,Melbourne,102,MCG,MCG,VIC,7
2018,r23g9,St. Kilda,94,Docklands,Docklands,VIC,16
2017,r1g1,Carlton,89,MCG,Docklands,VIC,14
2017,r1g2,Collingwood,86,MCG,MCG,VIC,12
2017,r1g3,Sydney,82,SCG,SCG,NSW,1
2017,r1g4,St. Kilda,90,Docklands,Docklands,VIC,9
2017,r1g5,Essendon,116,MCG,Docklands,VIC,18
2017,r1g6,Gold Coast,96,Metricon,Metricon,QLD,15
2017,r1g7,North Melbourne,93,Docklands,Docklands,VIC,8
2017,r1g8,Adelaide,147,Adelaide Oval,Adelaide Oval,SA,5
2017,r1g9,Fremantle,73,Perth Stadium,Perth Stadium,WA,16
2017,r2g1,Richmond,99,MCG,MCG,VIC,3
2017,r2g2,Western Bulldogs,110,Docklands,Docklands,VIC,8
2017,r2g3,Hawthorn,89,MCG,MCG,VIC,12
2017,r2g4,Greater Western Sydney,160,Sydney Showground,Sydney Showground,NSW,18
2017,r2g5,Brisbane,84,Gabba,Gabba,QLD,9
2017,r2g6,West Coast,116,Perth Stadium,Perth Stadium,WA,4
2017,r2g7,Geelong,112,Docklands,Kardinia Park,VIC,2
2017,r2g8,Melbourne,86,MCG,MCG,VIC,6
2017,r2g9,Port Adelaide,145,Adelaide Oval,Adelaide Oval,SA,5
2017,r3g1,Sydney,79,SCG,SCG,NSW,15
2017,r3g2,North Melbourne,67,Blundstone Arena,Docklands,VIC,12
2017,r3g3,Richmond,76,MCG,MCG,VIC,3
2017,r3g4,Geelong,126,Docklands,Kardinia Park,VIC,7
2017,r3g5,Port Adelaide,83,Adelaide Oval,Adelaide Oval,SA,1
2017,r3g6,Fremantle,89,Perth Stadium,Perth Stadium,WA,18
2017,r3g7,St. Kilda,107,Docklands,Docklands,VIC,13
2017,r3g8,Carlton,57,MCG,Docklands,VIC,16
2017,r3g9,Gold Coast,139,Metricon,Metricon,QLD,17
2017,r4g1,West Coast,91,Perth Stadium,Perth Stadium,WA,6
2017,r4g2,North Melbourne,86,Docklands,Docklands,VIC,17
2017,r4g3,Melbourne,104,MCG,MCG,VIC,8
2017,r4g4,Greater Western Sydney,112,UNSW Canberra Oval,Sydney Showground,NSW,5
2017,r4g5,Carlton,82,Docklands,Docklands,VIC,14
2017,r4g6,Adelaide,153,Adelaide Oval,Adelaide Oval,SA,1
2017,r4g7,Collingwood,55,Docklands,MCG,VIC,12
2017,r4g8,Brisbane,67,Gabba,Gabba,QLD,13
2017,r4g9,Hawthorn,48,MCG,MCG,VIC,18
2017,r5g1,Port Adelaide,137,Adelaide Oval,Adelaide Oval,SA,7
2017,r5g2,Western Bulldogs,122,Docklands,Docklands,VIC,6
2017,r5g3,Gold Coast,86,Metricon,Metricon,QLD,9
2017,r5g4,Sydney,63,SCG,SCG,NSW,16
2017,r5g5,Fremantle,67,Perth Stadium,Perth Stadium,WA,12
2017,r5g6,St. Kilda,88,Docklands,Docklands,VIC,10
2017,r5g7,Hawthorn,125,MCG,MCG,VIC,18
2017,r5g8,Richmond,88,MCG,MCG,VIC,3
2017,r5g9,Essendon,100,Docklands,Docklands,VIC,11
2017,r6g1,Greater Western Sydney,75,UNSW Canberra Oval,Sydney Showground,NSW,4
2017,r6g2,Hawthorn,55,University of Tasmania Stadium,MCG,VIC,15
2017,r6g3,Carlton,97,Docklands,Docklands,VIC,16
2017,r6g4,Brisbane,67,Gabba,Gabba,QLD,14
2017,r6g5,North Melbourne,107,Docklands,Docklands,VIC,17
2017,r6g6,West Coast,103,Perth Stadium,Perth Stadium,WA,7
2017,r6g7,Essendon,74,Docklands,Docklands,VIC,8
2017,r6g8,Geelong,78,MCG,Kardinia Park,VIC,2
2017,r6g9,Adelaide,140,Adelaide Oval,Adelaide Oval,SA,1
2017,r7g1,St. Kilda,108,Docklands,Docklands,VIC,9
2017,r7g2,North Melbourne,145,Blundstone Arena,Docklands,VIC,15
2017,r7g3,Collingwood,56,MCG,MCG,VIC,12
2017,r7g4,Port Adelaide,87,Adelaide Oval,Adelaide Oval,SA,5
2017,r7g5,Gold Coast,124,Metricon,Metricon,QLD,13
2017,r7g6,Western Bulldogs,80,Docklands,Docklands,VIC,7
2017,r7g7,Sydney,135,SCG,SCG,NSW,18
2017,r7g8,Melbourne,91,MCG,MCG,VIC,8
2017,r7g9,Fremantle,116,Perth Stadium,Perth Stadium,WA,11
2017,r8g1,West Coast,69,Perth Stadium,Perth Stadium,WA,4
2017,r8g2,Hawthorn,113,University of Tasmania Stadium,MCG,VIC,16
2017,r8g3,St. Kilda,85,Docklands,Docklands,VIC,8
2017,r8g4,Greater Western Sydney,102,Sydney Showground,Sydney Showground,NSW,2
2017,r8g5,Essendon,110,Docklands,Docklands,VIC,12
2017,r8g6,Adelaide,66,Adelaide Oval,Adelaide Oval,SA,1
2017,r8g7,Richmond,70,MCG,MCG,VIC,6
2017,r8g8,Gold Coast,38,Jiangwan Stadium,Metricon,QLD,11
2017,r8g9,North Melbourne,78,Docklands,Docklands,VIC,14
2017,r9g1,Geelong,104,Kardinia Park,Kardinia Park,VIC,5
2017,r9g2,St. Kilda,68,Docklands,Docklands,VIC,6
2017,r9g3,Greater Western Sydney,78,Sydney Showground,Sydney Showground,NSW,2
2017,r9g4,Brisbane,60,Gabba,Gabba,QLD,18
2017,r9g5,Collingwood,90,MCG,MCG,VIC,17
2017,r9g6,Essendon,125,Docklands,Docklands,VIC,11
2017,r9g7,Melbourne,90,MCG,MCG,VIC,10
2017,r9g8,Fremantle,86,Perth Stadium,Perth Stadium,WA,9
2017,r10g1,Geelong,81,Kardinia Park,Kardinia Park,VIC,3
2017,r10g2,Sydney,75,SCG,SCG,NSW,12
2017,r10g3,Western Bulldogs,90,Docklands,Docklands,VIC,8
2017,r10g4,Melbourne,122,TIO Stadium,MCG,VIC,11
2017,r10g5,Richmond,81,MCG,MCG,VIC,7
2017,r10g6,Adelaide,143,Adelaide Oval,Adelaide Oval,SA,1
2017,r10g7,Collingwood,129,MCG,MCG,VIC,13
2017,r10g8,Carlton,96,Docklands,Docklands,VIC,16
2017,r10g9,West Coast,90,Perth Stadium,Perth Stadium,WA,4
2017,r11g1,Port Adelaide,98,Adelaide Oval,Adelaide Oval,SA,8
2017,r11g2,Geelong,96,Kardinia Park,Kardinia Park,VIC,3
2017,r11g3,Gold Coast,80,Metricon,Metricon,QLD,16
2017,r11g4,Greater Western Sydney,117,Sydney Showground,Sydney Showground,NSW,2
2017,r11g5,North Melbourne,66,Docklands,Docklands,VIC,13
2017,r11g6,Fremantle,85,Perth Stadium,Perth Stadium,WA,7
2017,r12g1,Sydney,88,SCG,SCG,NSW,15
2017,r12g2,Adelaide,111,Adelaide Oval,Adelaide Oval,SA,1
2017,r12g3,Hawthorn,79,MCG,MCG,VIC,14
2017,r12g4,Brisbane,121,Gabba,Gabba,QLD,18
2017,r12g5,Essendon,131,Docklands,Docklands,VIC,12
2017,r12g6,Carlton,71,Docklands,Docklands,VIC,17
2017,r12g7,Melbourne,104,MCG,MCG,VIC,9
2017,r13g1,West Coast,83,Perth Stadium,Perth Stadium,WA,9
2017,r13g2,North Melbourne,72,Docklands,Docklands,VIC,15
2017,r13g3,Richmond,71,MCG,MCG,VIC,4
2017,r13g4,Port Adelaide,121,Adelaide Oval,Adelaide Oval,SA,5
2017,r13g5,Gold Coast,73,Metricon,Metricon,QLD,13
2017,r13g6,Western Bulldogs,56,Docklands,Docklands,VIC,8
2017,r14g1,Adelaide,82,Adelaide Oval,Adelaide Oval,SA,1
2017,r14g2,Sydney,86,SCG,SCG,NSW,12
2017,r14g3,Collingwood,62,MCG,MCG,VIC,13
2017,r14g4,Brisbane,86,Gabba,Gabba,QLD,18
2017,r14g5,Western Bulldogs,107,Docklands,Docklands,VIC,9
2017,r14g6,West Coast,96,Perth Stadium,Perth Stadium,WA,7
2017,r14g7,Geelong,74,Kardinia Park,Kardinia Park,VIC,3
2017,r14g8,Richmond,84,MCG,MCG,VIC,6
2017,r14g9,St. Kilda,104,Docklands,Docklands,VIC,10
2017,r15g1,Melbourne,50,MCG,MCG,VIC,5
2017,r15g2,Western Bulldogs,80,Docklands,Docklands,VIC,9
2017,r15g3,Carlton,77,Docklands,Docklands,VIC,15
2017,r15g4,Gold Coast,118,Metricon,Metricon,QLD,14
2017,r15g5,Greater Western Sydney,68,Sydney Showground,Sydney Showground,NSW,1
2017,r15g6,Port Adelaide,63,Adelaide Oval,Adelaide Oval,SA,4
2017,r15g7,Essendon,82,Docklands,Docklands,VIC,11
2017,r15g8,Hawthorn,118,MCG,MCG,VIC,16
2017,r15g9,Fremantle,80,Perth Stadium,Perth Stadium,WA,12
2017,r16g1,Adelaide,104,Adelaide Oval,Adelaide Oval,SA,2
2017,r16g2,Hawthorn,97,MCG,MCG,VIC,13
2017,r16g3,Collingwood,80,MCG,MCG,VIC,15
2017,r16g4,Sydney,118,SCG,SCG,NSW,9
2017,r16g5,Brisbane,78,Gabba,Gabba,QLD,18
2017,r16g6,St. Kilda,138,Docklands,Docklands,VIC,8
2017,r16g7,North Melbourne,82,Docklands,Docklands,VIC,17
2017,r16g8,Carlton,82,Docklands,Docklands,VIC,16
2017,r16g9,West Coast,88,Perth Stadium,Perth Stadium,WA,7
2017,r17g1,St. Kilda,57,Docklands,Docklands,VIC,7
2017,r17g2,Geelong,88,Kardinia Park,Kardinia Park,VIC,3
2017,r17g3,Port Adelaide,127,Adelaide Oval,Adelaide Oval,SA,4
2017,r17g4,Gold Coast,88,Metricon,Metricon,QLD,14
2017,r17g5,Greater Western Sydney,83,Sydney Showground,Sydney Showground,NSW,2
2017,r17g6,Melbourne,70,TIO Stadium,MCG,VIC,5
2017,r17g7,Richmond,112,MCG,MCG,VIC,6
2017,r17g8,Carlton,62,Docklands,Docklands,VIC,16
2017,r17g9,Fremantle,44,Perth Stadium,Perth Stadium,WA,12
2017,r18g1,Adelaide,91,Adelaide Oval,Adelaide Oval,SA,1
2017,r18g2,Essendon,132,Docklands,Docklands,VIC,10
2017,r18g3,Melbourne,88,MCG,MCG,VIC,7
2017,r18g4,Western Bulldogs,110,Cazaly's Stadium,Docklands,VIC,11
2017,r18g5,Sydney,101,SCG,SCG,NSW,6
2017,r18g6,Fremantle,48,Perth Stadium,Perth Stadium,WA,12
2017,r18g7,Richmond,64,MCG,MCG,VIC,5
2017,r18g8,Collingwood,93,MCG,MCG,VIC,14
2017,r18g9,Brisbane,112,Gabba,Gabba,QLD,18
2017,r19g1,Hawthorn,72,MCG,MCG,VIC,12
2017,r19g2,North Melbourne,76,Blundstone Arena,Docklands,VIC,17
2017,r19g3,Greater Western Sydney,98,Sydney Showground,Sydney Showground,NSW,3
2017,r19g4,Port Adelaide,63,Adelaide Oval,Adelaide Oval,SA,5
2017,r19g5,Gold Coast,65,Metricon,Metricon,QLD,15
2017,r19g6,Carlton,58,Docklands,Docklands,VIC,16
2017,r19g7,Western Bulldogs,127,Docklands,Docklands,VIC,10
2017,r19g8,Collingwood,103,MCG,MCG,VIC,13
2017,r19g9,West Coast,113,Perth Stadium,Perth Stadium,WA,9
2017,r20g1,Geelong,61,Kardinia Park,Kardinia Park,VIC,2
2017,r20g2,Greater Western Sydney,97,UNSW Canberra Oval,Sydney Showground,NSW,3
2017,r20g3,Essendon,84,Docklands,Docklands,VIC,10
2017,r20g4,Brisbane,89,Gabba,Gabba,QLD,18
2017,r20g5,North Melbourne,57,Docklands,Docklands,VIC,16
2017,r20g6,Fremantle,90,Perth Stadium,Perth Stadium,WA,14
2017,r20g7,St. Kilda,103,Docklands,Docklands,VIC,11
2017,r20g8,Richmond,93,MCG,MCG,VIC,4
2017,r20g9,Adelaide,130,Adelaide Oval,Adelaide Oval,SA,1
2017,r21g1,Western Bulldogs,57,Docklands,Docklands,VIC,7
2017,r21g2,Sydney,143,SCG,SCG,NSW,6
2017,r21g3,Geelong,80,Kardinia Park,Kardinia Park,VIC,4
2017,r21g4,Brisbane,142,Gabba,Gabba,QLD,18
2017,r21g5,Essendon,80,Docklands,Docklands,VIC,8
2017,r21g6,West Coast,100,Perth Stadium,Perth Stadium,WA,9
2017,r21g7,Melbourne,96,MCG,MCG,VIC,10
2017,r21g8,Hawthorn,116,University of Tasmania Stadium,MCG,VIC,13
2017,r21g9,Port Adelaide,98,Adelaide Oval,Adelaide Oval,SA,5
2017,r22g1,Adelaide,80,Adelaide Oval,Adelaide Oval,SA,1
2017,r22g2,Western Bulldogs,79,Eureka,Docklands,VIC,9
2017,r22g3,Collingwood,59,MCG,MCG,VIC,13
2017,r22g4,Greater Western Sydney,81,Sydney Showground,Sydney Showground,NSW,2
2017,r22g5,Gold Coast,57,Metricon,Metricon,QLD,15
2017,r22g6,Carlton,77,Docklands,Docklands,VIC,17
2017,r22g7,Melbourne,104,MCG,MCG,VIC,7
2017,r22g8,St. Kilda,127,Docklands,Docklands,VIC,11
2017,r22g9,Fremantle,51,Perth Stadium,Perth Stadium,WA,14
2017,r23g1,Hawthorn,99,MCG,MCG,VIC,12
2017,r23g2,Collingwood,99,MCG,MCG,VIC,13
2017,r23g3,Brisbane,79,Gabba,Gabba,QLD,18
2017,r23g4,Sydney,138,SCG,SCG,NSW,6
2017,r23g5,Geelong,103,Kardinia Park,Kardinia Park,VIC,3
2017,r23g6,Port Adelaide,135,Adelaide Oval,Adelaide Oval,SA,5
2017,r23g7,Essendon,107,Docklands,Docklands,VIC,8
2017,r23g8,Richmond,122,MCG,MCG,VIC,4
2017,r23g9,West Coast,100,Perth Stadium,Perth Stadium,WA,9
2016,r1g1,Richmond,92,MCG,MCG,VIC,5
2016,r1g2,Melbourne,80,MCG,MCG,VIC,13
2016,r1g3,Gold Coast,121,Metricon,Metricon,QLD,16
2016,r1g4,Sydney,133,SCG,SCG,NSW,4
2016,r1g5,North Melbourne,107,Docklands,Docklands,VIC,8
2016,r1g6,Western Bulldogs,103,Docklands,Docklands,VIC,6
2016,r1g7,Port Adelaide,133,Adelaide Oval,Adelaide Oval,SA,9
2016,r1g8,West Coast,166,Perth Stadium,Perth Stadium,WA,2
2016,r1g9,Geelong,116,MCG,Kardinia Park,VIC,10
2016,r2g1,Collingwood,87,MCG,MCG,VIC,17
2016,r2g2,Adelaide,144,Adelaide Oval,Adelaide Oval,SA,11
2016,r2g3,Essendon,80,Docklands,Docklands,VIC,16
2016,r2g4,Brisbane,83,Gabba,Gabba,QLD,15
2016,r2g5,St. Kilda,36,Docklands,Docklands,VIC,13
2016,r2g6,Fremantle,100,Perth Stadium,Perth Stadium,WA,18
2016,r2g7,Greater Western Sydney,89,Manuka Oval,Sydney Showground,NSW,10
2016,r2g8,Hawthorn,99,MCG,MCG,VIC,14
2016,r2g9,Carlton,71,Docklands,Docklands,VIC,12
2016,r3g1,Port Adelaide,112,Adelaide Oval,Adelaide Oval,SA,12
2016,r3g2,St. Kilda,119,Docklands,Docklands,VIC,18
2016,r3g3,Richmond,92,MCG,MCG,VIC,10
2016,r3g4,Sydney,93,SCG,SCG,NSW,2
2016,r3g5,Gold Coast,95,Metricon,Metricon,QLD,3
2016,r3g6,West Coast,92,Perth Stadium,Perth Stadium,WA,8
2016,r3g7,North Melbourne,136,Blundstone Arena,Docklands,VIC,4
2016,r3g8,Western Bulldogs,90,Docklands,Docklands,VIC,1
2016,r3g9,Geelong,125,Kardinia Park,Kardinia Park,VIC,6
2016,r4g1,West Coast,125,Perth Stadium,Perth Stadium,WA,7
2016,r4g2,Essendon,42,Docklands,Docklands,VIC,15
2016,r4g3,Hawthorn,87,University of Tasmania Stadium,MCG,VIC,9
2016,r4g4,Brisbane,107,Gabba,Gabba,QLD,18
2016,r4g5,Carlton,49,Docklands,Docklands,VIC,17
2016,r4g6,Adelaide,113,Adelaide Oval,Adelaide Oval,SA,6
2016,r4g7,Greater Western Sydney,151,Manuka Oval,Sydney Showground,NSW,11
2016,r4g8,Collingwood,67,MCG,MCG,VIC,14
2016,r4g9,North Melbourne,132,Docklands,Docklands,VIC,3
2016,r5g1,Hawthorn,112,MCG,MCG,VIC,8
2016,r5g2,Sydney,88,SCG,SCG,NSW,3
