Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2016,r5g3,Gold Coast,81,Metricon,Metricon,QLD,5
2016,r5g4,Western Bulldogs,120,Docklands,Docklands,VIC,2
2016,r5g5,Port Adelaide,59,Adelaide Oval,Adelaide Oval,SA,11
2016,r5g6,St. Kilda,79,Docklands,Docklands,VIC,12
2016,r5g7,Fremantle,68,Perth Stadium,Perth Stadium,WA,17
2016,r5g8,Melbourne,129,MCG,MCG,VIC,10
2016,r5g9,Collingwood,142,MCG,MCG,VIC,15
2016,r6g1,North Melbourne,61,Docklands,Docklands,VIC,1
2016,r6g2,Melbourne,96,MCG,MCG,VIC,10
2016,r6g3,Adelaide,97,Adelaide Oval,Adelaide Oval,SA,9
2016,r6g4,Greater Western Sydney,158,Sydney Showground,Sydney Showground,NSW,6
2016,r6g5,Geelong,168,Kardinia Park,Kardinia Park,VIC,4
2016,r6g6,Richmond,59,MCG,MCG,VIC,14
2016,r6g7,Brisbane,94,Gabba,Gabba,QLD,16
2016,r6g8,Carlton,72,Docklands,Docklands,VIC,15
2016,r6g9,West Coast,124,Perth Stadium,Perth Stadium,WA,8
2016,r7g1,Richmond,90,MCG,MCG,VIC,15
2016,r7g2,Collingwood,84,MCG,MCG,VIC,13
2016,r7g3,Geelong,123,Kardinia Park,Kardinia Park,VIC,2
2016,r7g4,Sydney,135,SCG,SCG,NSW,3
2016,r7g5,Gold Coast,87,Metricon,Metricon,QLD,10
2016,r7g6,Western Bulldogs,123,Docklands,Docklands,VIC,4
2016,r7g7,Fremantle,77,Perth Stadium,Perth Stadium,WA,18
2016,r7g8,St. Kilda,75,Docklands,Docklands,VIC,12
2016,r7g9,Port Adelaide,136,Adelaide Oval,Adelaide Oval,SA,11
2016,r8g1,Adelaide,72,Adelaide Oval,Adelaide Oval,SA,8
2016,r8g2,Essendon,60,Docklands,Docklands,VIC,17
2016,r8g3,Hawthorn,116,University of Tasmania Stadium,MCG,VIC,6
2016,r8g4,Greater Western Sydney,149,Sydney Showground,Sydney Showground,NSW,5
2016,r8g5,Richmond,101,MCG,MCG,VIC,15
2016,r8g6,Brisbane,65,Gabba,Gabba,QLD,16
2016,r8g7,Carlton,93,Docklands,Docklands,VIC,12
2016,r8g8,Melbourne,82,MCG,MCG,VIC,9
2016,r8g9,West Coast,132,Perth Stadium,Perth Stadium,WA,7
2016,r9g1,Hawthorn,55,MCG,MCG,VIC,6
2016,r9g2,Collingwood,104,MCG,MCG,VIC,12
2016,r9g3,Gold Coast,74,Metricon,Metricon,QLD,13
2016,r9g4,Port Adelaide,86,Adelaide Oval,Adelaide Oval,SA,10
2016,r9g5,Fremantle,45,Perth Stadium,Perth Stadium,WA,18
2016,r9g6,North Melbourne,113,Docklands,Docklands,VIC,1
2016,r9g7,Melbourne,131,MCG,MCG,VIC,9
2016,r9g8,Greater Western Sydney,98,Sydney Showground,Sydney Showground,NSW,3
2016,r9g9,St. Kilda,109,Docklands,Docklands,VIC,14
2016,r10g1,Sydney,91,SCG,SCG,NSW,4
2016,r10g2,Brisbane,87,Gabba,Gabba,QLD,16
2016,r10g3,Melbourne,76,TIO Stadium,MCG,VIC,9
2016,r10g4,St. Kilda,101,Docklands,Docklands,VIC,13
2016,r10g5,Essendon,67,Docklands,Docklands,VIC,17
2016,r10g6,Adelaide,107,Adelaide Oval,Adelaide Oval,SA,8
2016,r10g7,Carlton,104,Docklands,Docklands,VIC,12
2016,r10g8,Collingwood,53,MCG,MCG,VIC,11
2016,r10g9,West Coast,132,Perth Stadium,Perth Stadium,WA,6
2016,r11g1,North Melbourne,124,Blundstone Arena,Docklands,VIC,1
2016,r11g2,Hawthorn,82,MCG,MCG,VIC,7
2016,r11g3,Carlton,102,Docklands,Docklands,VIC,11
2016,r11g4,Geelong,98,Kardinia Park,Kardinia Park,VIC,3
2016,r11g5,Fremantle,126,Perth Stadium,Perth Stadium,WA,18
2016,r11g6,Gold Coast,41,Metricon,Metricon,QLD,15
2016,r11g7,Collingwood,58,MCG,MCG,VIC,12
2016,r11g8,Western Bulldogs,83,Docklands,Docklands,VIC,6
2016,r11g9,Adelaide,133,Adelaide Oval,Adelaide Oval,SA,8
2016,r12g1,Essendon,43,Docklands,Docklands,VIC,18
2016,r12g2,Port Adelaide,97,Adelaide Oval,Adelaide Oval,SA,9
2016,r12g3,Brisbane,64,Gabba,Gabba,QLD,17
2016,r12g4,Geelong,105,Kardinia Park,Kardinia Park,VIC,3
2016,r12g5,West Coast,76,Perth Stadium,Perth Stadium,WA,7
2016,r12g6,St. Kilda,110,Docklands,Docklands,VIC,13
2016,r12g7,Richmond,114,MCG,MCG,VIC,14
2016,r12g8,Greater Western Sydney,105,Sydney Showground,Sydney Showground,NSW,6
2016,r12g9,Melbourne,104,MCG,MCG,VIC,11
2016,r13g1,North Melbourne,84,Docklands,Docklands,VIC,1
2016,r13g2,Brisbane,82,Gabba,Gabba,QLD,17
2016,r13g3,Fremantle,86,Perth Stadium,Perth Stadium,WA,16
2016,r13g4,Western Bulldogs,43,Docklands,Docklands,VIC,4
2016,r13g5,Sydney,86,SCG,SCG,NSW,3
2016,r13g6,Essendon,90,Docklands,Docklands,VIC,18
2016,r14g1,Adelaide,100,Adelaide Oval,Adelaide Oval,SA,8
2016,r14g2,Collingwood,85,MCG,MCG,VIC,14
2016,r14g3,Richmond,117,MCG,MCG,VIC,13
2016,r14g4,Greater Western Sydney,127,Sydney Showground,Sydney Showground,NSW,5
2016,r14g5,St. Kilda,93,Docklands,Docklands,VIC,12
2016,r14g6,Hawthorn,86,University of Tasmania Stadium,MCG,VIC,4
2016,r15g1,West Coast,130,Perth Stadium,Perth Stadium,WA,8
2016,r15g2,Port Adelaide,94,Adelaide Oval,Adelaide Oval,SA,9
2016,r15g3,Gold Coast,108,Metricon,Metricon,QLD,16
2016,r15g4,Sydney,79,SCG,SCG,NSW,2
2016,r15g5,Carlton,45,Docklands,Docklands,VIC,13
2016,r15g6,Melbourne,98,MCG,MCG,VIC,10
2016,r16g1,Port Adelaide,79,Adelaide Oval,Adelaide Oval,SA,9
2016,r16g2,Geelong,60,Kardinia Park,Kardinia Park,VIC,2
2016,r16g3,Greater Western Sydney,93,Sydney Showground,Sydney Showground,NSW,3
2016,r16g4,Gold Coast,139,Metricon,Metricon,QLD,15
2016,r16g5,Western Bulldogs,85,Docklands,Docklands,VIC,6
2016,r16g6,Melbourne,87,TIO Stadium,MCG,VIC,10
2016,r16g7,Carlton,47,Docklands,Docklands,VIC,14
2016,r16g8,West Coast,104,Perth Stadium,Perth Stadium,WA,8
2016,r16g9,Essendon,98,Docklands,Docklands,VIC,18
2016,r17g1,Sydney,70,SCG,SCG,NSW,2
2016,r17g2,Fremantle,61,Perth Stadium,Perth Stadium,WA,16
2016,r17g3,Richmond,102,MCG,MCG,VIC,13
2016,r17g4,North Melbourne,77,Docklands,Docklands,VIC,8
2016,r17g5,Western Bulldogs,107,Cazaly's Stadium,Docklands,VIC,4
2016,r17g6,Adelaide,97,Adelaide Oval,Adelaide Oval,SA,3
2016,r17g7,Carlton,75,Docklands,Docklands,VIC,14
2016,r17g8,St. Kilda,110,Docklands,Docklands,VIC,12
2016,r17g9,Brisbane,67,Gabba,Gabba,QLD,17
2016,r18g1,Collingwood,84,MCG,MCG,VIC,12
2016,r18g2,Sydney,74,SCG,SCG,NSW,5
2016,r18g3,Gold Coast,105,Metricon,Metricon,QLD,15
2016,r18g4,West Coast,66,Perth Stadium,Perth Stadium,WA,6
2016,r18g5,Geelong,85,Kardinia Park,Kardinia Park,VIC,7
2016,r18g6,Western Bulldogs,60,Docklands,Docklands,VIC,3
2016,r18g7,Essendon,91,Docklands,Docklands,VIC,18
2016,r18g8,Hawthorn,114,MCG,MCG,VIC,1
2016,r18g9,Port Adelaide,60,Adelaide Oval,Adelaide Oval,SA,9
2016,r19g1,Geelong,103,Kardinia Park,Kardinia Park,VIC,4
2016,r19g2,Greater Western Sydney,111,Manuka Oval,Sydney Showground,NSW,2
2016,r19g3,Hawthorn,74,MCG,MCG,VIC,1
2016,r19g4,Collingwood,91,MCG,MCG,VIC,12
2016,r19g5,North Melbourne,85,Docklands,Docklands,VIC,8
2016,r19g6,Brisbane,79,Gabba,Gabba,QLD,17
2016,r19g7,Melbourne,66,MCG,MCG,VIC,11
2016,r19g8,Fremantle,47,Perth Stadium,Perth Stadium,WA,16
2016,r19g9,Adelaide,143,Adelaide Oval,Adelaide Oval,SA,6
2016,r20g1,Richmond,92,MCG,MCG,VIC,13
2016,r20g2,Sydney,100,SCG,SCG,NSW,3
2016,r20g3,Melbourne,110,MCG,MCG,VIC,11
2016,r20g4,Gold Coast,84,Metricon,Metricon,QLD,14
2016,r20g5,Western Bulldogs,61,Docklands,Docklands,VIC,7
2016,r20g6,Adelaide,177,Adelaide Oval,Adelaide Oval,SA,5
2016,r20g7,Carlton,51,Docklands,Docklands,VIC,15
2016,r20g8,Geelong,100,Kardinia Park,Kardinia Park,VIC,4
2016,r20g9,Fremantle,64,Perth Stadium,Perth Stadium,WA,16
2016,r21g1,Western Bulldogs,95,Docklands,Docklands,VIC,7
2016,r21g2,Brisbane,99,Gabba,Gabba,QLD,17
2016,r21g3,Hawthorn,96,MCG,MCG,VIC,1
2016,r21g4,Greater Western Sydney,96,Sydney Showground,Sydney Showground,NSW,4
2016,r21g5,St. Kilda,76,Docklands,Docklands,VIC,9
2016,r21g6,Port Adelaide,54,Adelaide Oval,Adelaide Oval,SA,10
2016,r21g7,Essendon,75,Docklands,Docklands,VIC,18
2016,r21g8,Richmond,78,MCG,MCG,VIC,13
2016,r21g9,Fremantle,70,Perth Stadium,Perth Stadium,WA,16
2016,r22g1,West Coast,92,Perth Stadium,Perth Stadium,WA,6
2016,r22g2,North Melbourne,76,Docklands,Docklands,VIC,8
2016,r22g3,Richmond,46,MCG,MCG,VIC,13
2016,r22g4,Greater Western Sydney,129,Sydney Showground,Sydney Showground,NSW,5
2016,r22g5,Collingwood,118,MCG,MCG,VIC,12
2016,r22g6,Port Adelaide,94,Adelaide Oval,Adelaide Oval,SA,11
2016,r22g7,Carlton,78,Docklands,Docklands,VIC,15
2016,r22g8,Brisbane,69,Gabba,Gabba,QLD,17
2016,r22g9,Essendon,53,Docklands,Docklands,VIC,18
2016,r23g1,Adelaide,71,Adelaide Oval,Adelaide Oval,SA,2
2016,r23g2,Geelong,155,Kardinia Park,Kardinia Park,VIC,3
2016,r23g3,Essendon,103,Docklands,Docklands,VIC,18
2016,r23g4,Sydney,164,SCG,SCG,NSW,1
2016,r23g5,North Melbourne,63,Docklands,Docklands,VIC,8
2016,r23g6,Gold Coast,66,Metricon,Metricon,QLD,15
2016,r23g7,St. Kilda,161,Docklands,Docklands,VIC,9
2016,r23g8,Hawthorn,112,MCG,MCG,VIC,4
2016,r23g9,Fremantle,69,Perth Stadium,Perth Stadium,WA,16
2015,r1g1,Carlton,78,Docklands,Docklands,VIC,13
2015,r1g2,Melbourne,115,MCG,MCG,VIC,17
2015,r1g3,Sydney,72,SCG,SCG,NSW,1
2015,r1g4,Brisbane,74,Gabba,Gabba,QLD,15
2015,r1g5,Western Bulldogs,97,Docklands,Docklands,VIC,14
2015,r1g6,St. Kilda,78,Docklands,Docklands,VIC,18
2015,r1g7,Adelaide,140,Adelaide Oval,Adelaide Oval,SA,10
2015,r1g8,Fremantle,75,Perth Stadium,Perth Stadium,WA,4
2015,r1g9,Hawthorn,123,MCG,MCG,VIC,2
2015,r2g1,West Coast,131,Perth Stadium,Perth Stadium,WA,11
2015,r2g2,Richmond,66,MCG,MCG,VIC,3
2015,r2g3,Greater Western Sydney,101,Manuka Oval,Sydney Showground,NSW,7
2015,r2g4,Collingwood,63,MCG,MCG,VIC,6
2015,r2g5,Gold Coast,76,Metricon,Metricon,QLD,15
2015,r2g6,Port Adelaide,44,Adelaide Oval,Adelaide Oval,SA,10
2015,r2g7,Geelong,60,Kardinia Park,Kardinia Park,VIC,17
2015,r2g8,Essendon,78,Docklands,Docklands,VIC,14
2015,r2g9,North Melbourne,133,Docklands,Docklands,VIC,18
2015,r3g1,Collingwood,140,MCG,MCG,VIC,12
2015,r3g2,Carlton,84,Docklands,Docklands,VIC,16
2015,r3g3,Adelaide,80,Adelaide Oval,Adelaide Oval,SA,1
2015,r3g4,Sydney,111,SCG,SCG,NSW,2
2015,r3g5,North Melbourne,105,Docklands,Docklands,VIC,10
2015,r3g6,Brisbane,58,Gabba,Gabba,QLD,17
2015,r3g7,Hawthorn,127,MCG,MCG,VIC,6
2015,r3g8,Geelong,105,Kardinia Park,Kardinia Park,VIC,18
2015,r3g9,West Coast,81,Perth Stadium,Perth Stadium,WA,7
2015,r4g1,Richmond,51,MCG,MCG,VIC,5
2015,r4g2,St. Kilda,81,Docklands,Docklands,VIC,14
2015,r4g3,Essendon,49,Docklands,Docklands,VIC,8
2015,r4g4,Greater Western Sydney,119,Sydney Showground,Sydney Showground,NSW,7
2015,r4g5,Port Adelaide,99,Adelaide Oval,Adelaide Oval,SA,13
2015,r4g6,Fremantle,74,Perth Stadium,Perth Stadium,WA,3
2015,r4g7,Brisbane,65,Gabba,Gabba,QLD,18
2015,r4g8,Geelong,67,Kardinia Park,Kardinia Park,VIC,15
2015,r4g9,Western Bulldogs,125,Docklands,Docklands,VIC,9
2015,r5g1,Carlton,45,Docklands,Docklands,VIC,14
2015,r5g2,Richmond,76,MCG,MCG,VIC,9
2015,r5g3,Sydney,73,SCG,SCG,NSW,4
2015,r5g4,Gold Coast,118,Metricon,Metricon,QLD,17
2015,r5g5,North Melbourne,70,Docklands,Docklands,VIC,10
2015,r5g6,West Coast,120,Perth Stadium,Perth Stadium,WA,8
2015,r5g7,Melbourne,50,MCG,MCG,VIC,12
2015,r5g8,St. Kilda,80,Docklands,Docklands,VIC,15
2015,r5g9,Adelaide,91,Adelaide Oval,Adelaide Oval,SA,5
2015,r6g1,Collingwood,59,MCG,MCG,VIC,2
2015,r6g2,North Melbourne,109,Docklands,Docklands,VIC,12
2015,r6g3,Western Bulldogs,87,Docklands,Docklands,VIC,3
2015,r6g4,Greater Western Sydney,108,Sydney Showground,Sydney Showground,NSW,8
2015,r6g5,Gold Coast,78,Metricon,Metricon,QLD,15
2015,r6g6,Melbourne,50,MCG,MCG,VIC,13
2015,r6g7,Fremantle,80,Perth Stadium,Perth Stadium,WA,1
2015,r6g8,Carlton,75,Docklands,Docklands,VIC,17
2015,r6g9,Port Adelaide,68,Adelaide Oval,Adelaide Oval,SA,10
2015,r7g1,Essendon,82,Docklands,Docklands,VIC,11
2015,r7g2,Adelaide,119,Adelaide Oval,Adelaide Oval,SA,5
2015,r7g3,Hawthorn,155,MCG,MCG,VIC,8
2015,r7g4,Carlton,57,Docklands,Docklands,VIC,17
2015,r7g5,Sydney,120,ANZ Stadium,SCG,NSW,4
2015,r7g6,West Coast,135,Perth Stadium,Perth Stadium,WA,2
2015,r7g7,Western Bulldogs,88,Docklands,Docklands,VIC,7
2015,r7g8,Richmond,105,MCG,MCG,VIC,13
2015,r7g9,Brisbane,102,Gabba,Gabba,QLD,18
2015,r8g1,Geelong,140,Docklands,Kardinia Park,VIC,13
2015,r8g2,St. Kilda,78,Docklands,Docklands,VIC,14
2015,r8g3,Greater Western Sydney,108,Sydney Showground,Sydney Showground,NSW,5
2015,r8g4,Gold Coast,63,Metricon,Metricon,QLD,17
2015,r8g5,Hawthorn,69,MCG,MCG,VIC,6
2015,r8g6,Fremantle,115,Perth Stadium,Perth Stadium,WA,1
2015,r8g7,Essendon,136,Docklands,Docklands,VIC,11
2015,r8g8,Melbourne,103,MCG,MCG,VIC,15
2015,r8g9,Port Adelaide,43,Adelaide Oval,Adelaide Oval,SA,12
2015,r9g1,Sydney,122,SCG,SCG,NSW,3
2015,r9g2,Hawthorn,93,University of Tasmania Stadium,MCG,VIC,7
2015,r9g3,Melbourne,54,TIO Stadium,MCG,VIC,14
2015,r9g4,Western Bulldogs,113,Docklands,Docklands,VIC,11
2015,r9g5,Richmond,72,MCG,MCG,VIC,8
2015,r9g6,Adelaide,57,Adelaide Oval,Adelaide Oval,SA,6
2015,r9g7,Brisbane,86,Gabba,Gabba,QLD,16
2015,r9g8,Collingwood,112,MCG,MCG,VIC,5
2015,r9g9,West Coast,120,Perth Stadium,Perth Stadium,WA,2
2015,r10g1,Fremantle,70,Perth Stadium,Perth Stadium,WA,1
2015,r10g2,Carlton,90,Docklands,Docklands,VIC,18
2015,r10g3,Gold Coast,41,Metricon,Metricon,QLD,17
2015,r10g4,Essendon,53,Docklands,Docklands,VIC,10
2015,r10g5,Port Adelaide,100,Adelaide Oval,Adelaide Oval,SA,11
2015,r10g6,Greater Western Sydney,97,Sydney Showground,Sydney Showground,NSW,5
2015,r10g7,North Melbourne,85,Docklands,Docklands,VIC,13
2015,r10g8,St. Kilda,69,Docklands,Docklands,VIC,14
2015,r10g9,Melbourne,85,MCG,MCG,VIC,15
2015,r11g1,Port Adelaide,69,Adelaide Oval,Adelaide Oval,SA,9
2015,r11g2,Gold Coast,46,Metricon,Metricon,QLD,18
2015,r11g3,West Coast,96,Perth Stadium,Perth Stadium,WA,3
2015,r11g4,North Melbourne,75,Docklands,Docklands,VIC,12
2015,r11g5,Collingwood,119,MCG,MCG,VIC,4
2015,r11g6,St. Kilda,85,Docklands,Docklands,VIC,14
2015,r12g1,Adelaide,85,Adelaide Oval,Adelaide Oval,SA,7
2015,r12g2,Richmond,70,MCG,MCG,VIC,8
2015,r12g3,Carlton,110,Docklands,Docklands,VIC,18
2015,r12g4,Greater Western Sydney,61,Sydney Showground,Sydney Showground,NSW,5
2015,r12g5,Western Bulldogs,146,Docklands,Docklands,VIC,11
2015,r12g6,Geelong,89,Kardinia Park,Kardinia Park,VIC,9
2015,r13g1,Fremantle,80,Perth Stadium,Perth Stadium,WA,1
2015,r13g2,Sydney,77,SCG,SCG,NSW,3
2015,r13g3,Hawthorn,114,MCG,MCG,VIC,5
2015,r13g4,Brisbane,69,Gabba,Gabba,QLD,17
2015,r13g5,St. Kilda,56,Docklands,Docklands,VIC,14
2015,r13g6,Carlton,103,Docklands,Docklands,VIC,16
2015,r14g1,Sydney,94,SCG,SCG,NSW,3
2015,r14g2,Collingwood,91,MCG,MCG,VIC,5
2015,r14g3,Richmond,78,MCG,MCG,VIC,6
2015,r14g4,Gold Coast,125,Metricon,Metricon,QLD,18
2015,r14g5,Western Bulldogs,64,Docklands,Docklands,VIC,8
2015,r14g6,Melbourne,60,TIO Stadium,MCG,VIC,15
2015,r14g7,Essendon,52,Docklands,Docklands,VIC,13
2015,r14g8,Fremantle,84,Perth Stadium,Perth Stadium,WA,1
2015,r15g1,Port Adelaide,66,Adelaide Oval,Adelaide Oval,SA,12
2015,r15g2,Richmond,71,MCG,MCG,VIC,6
2015,r15g3,Essendon,69,Docklands,Docklands,VIC,14
2015,r15g4,Western Bulldogs,95,Docklands,Docklands,VIC,7
2015,r15g5,North Melbourne,120,Docklands,Docklands,VIC,11
2015,r15g6,West Coast,147,Perth Stadium,Perth Stadium,WA,2
2015,r15g7,Greater Western Sydney,84,Sydney Showground,Sydney Showground,NSW,9
2015,r15g8,Hawthorn,115,MCG,MCG,VIC,4
2015,r15g9,Brisbane,49,Gabba,Gabba,QLD,18
2015,r16g1,North Melbourne,93,Docklands,Docklands,VIC,11
2015,r16g2,Geelong,72,Kardinia Park,Kardinia Park,VIC,11
2015,r16g3,Gold Coast,79,Metricon,Metricon,QLD,17
2015,r16g4,Collingwood,56,MCG,MCG,VIC,7
2015,r16g5,Sydney,57,ANZ Stadium,SCG,NSW,3
2015,r16g6,Fremantle,95,Perth Stadium,Perth Stadium,WA,1
2015,r16g7,Melbourne,60,MCG,MCG,VIC,15
2015,r16g8,Port Adelaide,113,Adelaide Oval,Adelaide Oval,SA,12
2015,r16g9,St. Kilda,73,Docklands,Docklands,VIC,13
2015,r17g1,Carlton,35,Docklands,Docklands,VIC,16
2015,r17g2,Greater Western Sydney,42,Sydney Showground,Sydney Showground,NSW,7
2015,r17g3,Adelaide,125,Adelaide Oval,Adelaide Oval,SA,8
2015,r17g4,Richmond,78,MCG,MCG,VIC,5
2015,r17g5,Essendon,116,Docklands,Docklands,VIC,14
2015,r17g6,Brisbane,38,Gabba,Gabba,QLD,18
2015,r17g7,Western Bulldogs,104,Docklands,Docklands,VIC,6
2015,r17g8,Melbourne,46,MCG,MCG,VIC,15
2015,r17g9,West Coast,103,Perth Stadium,Perth Stadium,WA,2
2015,r18g1,Hawthorn,53,MCG,MCG,VIC,3
2015,r18g2,Geelong,113,Kardinia Park,Kardinia Park,VIC,10
2015,r18g3,Collingwood,54,MCG,MCG,VIC,11
2015,r18g4,Sydney,117,SCG,SCG,NSW,4
2015,r18g5,Carlton,54,Docklands,Docklands,VIC,16
2015,r18g6,Gold Coast,83,Metricon,Metricon,QLD,17
2015,r18g7,Port Adelaide,112,Adelaide Oval,Adelaide Oval,SA,12
2015,r18g8,Essendon,40,Docklands,Docklands,VIC,14
2015,r18g9,Fremantle,84,Perth Stadium,Perth Stadium,WA,1
2015,r19g1,Adelaide,88,Adelaide Oval,Adelaide Oval,SA,9
2015,r19g2,Collingwood,105,MCG,MCG,VIC,11
2015,r19g3,Western Bulldogs,128,Docklands,Docklands,VIC,5
2015,r19g4,Brisbane,100,Gabba,Gabba,QLD,18
2015,r19g5,Geelong,95,Kardinia Park,Kardinia Park,VIC,8
